AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Latitude,Longitude
9100LGML,LGML,LGM,Langley Mill Rail Station,"",U,444960,346960,2005-04-04T00:00:00,2006-09-18T18:24:34,1,rev,53.0180775906, -1.3312416884
9100PTFTTSF,PTFTTSF,POT,Pontefract Tanshelf Rail Station,"",U,445070,422180,2005-03-18T00:00:00,2007-02-13T17:06:21,4,rev,53.6941449221, -1.3189173719
9100TABY,TABY,TBY,Thornaby Rail Station,"",U,445275,518450,2003-11-04T00:00:00,2010-04-01T16:15:28,2,rev,54.5592813582, -1.3014251552
9100GLDTHRP,GLDTHRP,GOE,Goldthorpe Rail Station,"",U,445645,404390,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.5342068606, -1.3128096411
9100ELGH,ELGH,ESL,Eastleigh Rail Station,"",U,445732,119071,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,50.9692403635, -1.350073969
9100BLTNODR,BLTNODR,BTD,Bolton-Upon-Dearne Rail Station,"",U,445745,402695,2003-11-04T00:00:00,2010-12-20T15:37:54,2,rev,53.5189640059, -1.3115478698
9100TRNO,TRNO,THC,Thurnscoe Rail Station,"",U,445900,405600,2003-11-04T00:00:00,2006-09-18T18:24:34,1,rev,53.5450596404, -1.3087865327
9100PTFTMHL,PTFTMHL,PFM,Pontefract Monkhill Rail Station,"",U,446070,422730,2005-03-18T00:00:00,2010-07-26T14:37:25,2,rev,53.6990008028, -1.3036919442
9100MORTHRP,MORTHRP,MRP,Moorthorpe Rail Station,"",U,446100,411160,2003-11-04T00:00:00,2010-07-26T14:37:04,2,rev,53.5950120583, -1.3049494779
9100PTFTBHL,PTFTBHL,PFR,Pontefract Baghill Rail Station,"",U,446100,421940,2005-03-18T00:00:00,2006-09-18T18:24:34,1,rev,53.6918982987, -1.3033551435
9100BNBR,BNBR,BAN,Banbury Rail Station,"",U,446160,240427,2003-11-04T00:00:00,2006-09-18T18:24:34,2,rev,52.0603171415, -1.3281174658
